Sample ID	Source-PCR-Plate	Run-ID	Project-ID	CGR-Sample-ID	Sample-Type	Sample-Des	Subject-ID	Reciept	Ext-Company	Ext-Kit	Ext-Robotics	Homo-Status	Homo-Method	Homo-Holder	Auto-Status	input	filtered	denoised	merged	non-chimeric	D_0__Archaea	D_0__Bacteria	D_0__Eukaryota	Unassigned	frac_filtered	Mag-Col	IR
SC249426-PC04925-F-03	PC04925	Run2	NP0084-MB4	SC249426	Study	Robogut	DZ35298	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	95582	84745	84745	83504	79786	0	79786	0	0	16.52612417	Magnetic	Solution
SC249427	PC04924	Run1	NP0084-MB4	SC249427	Ext_Control	art_col	DZ35322	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	157223	111787	111787	102711	101441	0	101441	0	0	35.4795418	Magnetic	Solution
SC249428	PC04924	Run1	NP0084-MB4	SC249428	Ext_Control	art_col	DZ35322	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	116385	80906	80906	75244	74392	0	74392	0	0	36.08111011	Magnetic	Solution
SC249429	PC07578	Run3	NP0084-MB5	SC249429	Study	human_1	human_1	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	150422	121914	121914	111430	90858	0	90858	0	0	39.59793115	Magnetic	Solution
SC249429-PC04924-G-07	PC04924	Run1	NP0084-MB4	SC249429	Study	human_1	human_1	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	147862	116654	116654	109075	100778	0	100778	0	0	31.84320515	Magnetic	Solution
SC249429-PC04925-G-03	PC04925	Run2	NP0084-MB4	SC249429	Study	human_1	human_1	sFEMB-001-R-006	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	144835	133435	133435	128269	108183	0	108183	0	0	25.30603791	Magnetic	Solution
SC249430	PC07578	Run3	NP0084-MB5	SC249430	Study	human_1	human_1	sFEMB-001-R-007	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	148771	118015	118015	107955	91631	0	91631	0	0	38.40802307	Magnetic	Solution
SC249430-PC04924-H-07	PC04924	Run1	NP0084-MB4	SC249430	Study	human_1	human_1	sFEMB-001-R-007	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	156275	120496	120496	105044	88895	0	88895	0	0	43.11630139	Magnetic	Solution
SC249430-PC04925-H-03	PC04925	Run2	NP0084-MB4	SC249430	Study	human_1	human_1	sFEMB-001-R-007	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	114117	104368	104368	99505	83231	0	83231	0	0	27.06520501	Magnetic	Solution
SC249431	PC04925	Run2	NP0084-MB4	SC249431	Ext_Control	Ext_Blank	Water	sFEMB-001-R-007	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	698	613	613	601	601	0	601	0	0	13.89684814	Magnetic	Solution
SC249432-PC04924-A-08	PC04924	Run1	NP0084-MB4	SC249432	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-007	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	119918	87842	87842	81695	68558	0	68558	0	0	42.82926667	Magnetic	Solution
SC249432-PC04925-B-04	PC04925	Run2	NP0084-MB4	SC249432	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-007	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	111172	101088	101088	96933	78922	0	78916	6	0	29.00910301	Magnetic	Solution
SC249433	PC07578	Run3	NP0084-MB5	SC249433	Study	Robogut	DZ35298	sFEMB-001-R-007	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	133366	103482	103482	100152	95316	0	95316	0	0	28.53051003	Magnetic	Solution
SC249433-PC04924-B-08	PC04924	Run1	NP0084-MB4	SC249433	Study	Robogut	DZ35298	sFEMB-001-R-007	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	163021	126634	126634	119612	110621	0	110245	0	376	32.14309813	Magnetic	Solution
SC249433-PC04925-C-04	PC04925	Run2	NP0084-MB4	SC249433	Study	Robogut	DZ35298	sFEMB-001-R-007	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	118355	108648	108648	105949	97731	0	97731	0	0	17.4255418	Magnetic	Solution
SC249434	PC04924	Run1	NP0084-MB4	SC249434	Ext_Control	art_col	DZ35322	sFEMB-001-R-007	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	157294	107507	107507	99294	98842	0	98842	0	0	37.16098516	Magnetic	Solution
SC249435-PC04924-D-08	PC04924	Run1	NP0084-MB4	SC249435	Study	human_1	human_1	sFEMB-001-R-007	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	148638	116969	116969	107287	94137	0	94137	0	0	36.66693578	Magnetic	Solution
SC249435-PC04925-D-04	PC04925	Run2	NP0084-MB4	SC249435	Study	human_1	human_1	sFEMB-001-R-007	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	137104	127482	127482	122723	103509	0	103509	0	0	24.50329677	Magnetic	Solution
SC249436	PC07578	Run3	NP0084-MB5	SC249436	Study	Robogut	DZ35298	sFEMB-001-R-007	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	152950	122945	122945	119763	115018	0	115018	0	0	24.80026152	Magnetic	Solution
SC249436-PC04924-E-08	PC04924	Run1	NP0084-MB4	SC249436	Study	Robogut	DZ35298	sFEMB-001-R-007	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	173966	128722	128722	120672	114530	0	114530	0	0	34.16529667	Magnetic	Solution
SC249436-PC04925-E-04	PC04925	Run2	NP0084-MB4	SC249436	Study	Robogut	DZ35298	sFEMB-001-R-007	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	145470	134134	134134	130854	122546	0	122546	0	0	15.75857565	Magnetic	Solution
SC249437	PC07578	Run3	NP0084-MB5	SC249437	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-007	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	160537	124093	124093	118840	92084	0	92074	10	0	42.64001445	Magnetic	Solution
