Sample ID	CGR-Sample-ID	Sample-Type	GM-Rack	VC	QDNA	Yield NG
SC249449-PC04925-E-05	SC249449	Study	PC01722	27.0	61.2	1652.7
SC502447	SC502447	Study	PC17554	54.2	67.1	3635.3
SC502443	SC502443	Study	PC17554	55.9	69.9	3904.0
SC304929	SC304929	Study	PC05933	41.1	70.0	2875.8
SC249445-PC04924-E-09	SC249445	Study	PC01722	27.0	70.7	1907.8
SC249445-PC04925-B-05	SC249445	Study	PC01722	27.0	70.7	1907.8
SC502442	SC502442	Study	PC17554	60.7	71.0	4311.1
SC502448	SC502448	Study	PC17554	52.6	72.5	3812.9
SC502452	SC502452	Ext.Control	PC17554	0.0	0.0	0.0
SC502454	SC502454	Ext.Control	PC17554	0.0	0.0	0.0
SC553013	SC553013	Study	PC21459	0.0	0.0	0.0
SC502456	SC502456	Study	PC17554	0.0	0.0	0.0
SC502458	SC502458	Study	PC17554	0.0	0.0	0.0
SC502459	SC502459	Study	PC17554	0.0	0.0	0.0
SC249368-PC04924-B-02	SC249368	Ext.Control	PC01715	0.0	0.0	0.0
SC249368-PC07578-C-10	SC249368	Ext.Control	PC01715	0.0	0.0	0.0
SC249391	SC249391	Ext.Control	PC01717	0.0	0.0	0.0
SC249391-PC04924-D-03	SC249391	Ext.Control	PC01717	0.0	0.0	0.0
SC249391-PC04925-H-01	SC249391	Ext.Control	PC01717	0.0	0.0	0.0
SC249408	SC249408	Ext.Control	PC01719	0.0	0.0	0.0
SC249408-PC04924-C-05	SC249408	Ext.Control	PC01719	0.0	0.0	0.0
SC249408-PC04925-E-02	SC249408	Ext.Control	PC01719	0.0	0.0	0.0
SC249420-PC04924-G-06	SC249420	Ext.Control	PC01720	0.0	0.0	0.0
SC249420-PC07578-H-07	SC249420	Ext.Control	PC01720	0.0	0.0	0.0
SC249437	SC249437	Ext.Control	PC01721	0.0	0.0	0.0
SC249437-PC04924-F-08	SC249437	Ext.Control	PC01721	0.0	0.0	0.0
SC249437-PC04925-F-04	SC249437	Ext.Control	PC01721	0.0	0.0	0.0
SC553016	SC553016	Ext.Control	PC21459	0.0	0.0	0.0
SC510683	SC510683	Ext.Control	PC17554	0.0	0.0	0.0
SC510684	SC510684	Ext.Control	PC17554	0.0	0.0	0.0
SC249365-PC04924-H-01	SC249365	Study	PC01715	0.0	0.0	0.0
SC249365-PC07578-E-09	SC249365	Study	PC01715	0.0	0.0	0.0
SC249410	SC249410	Study	PC01719	0.0	0.0	0.0
SC249410-PC04924-E-05	SC249410	Study	PC01719	0.0	0.0	0.0
SC249410-PC04925-F-02	SC249410	Study	PC01719	0.0	0.0	0.0
SC249421-PC04924-H-06	SC249421	Study	PC01720	0.0	0.0	0.0
SC249421-PC07578-F-02	SC249421	Study	PC01720	0.0	0.0	0.0
SC249426	SC249426	Study	PC01720	0.0	0.0	0.0
SC249426-PC04924-D-07	SC249426	Study	PC01720	0.0	0.0	0.0
SC249426-PC04925-F-03	SC249426	Study	PC01720	0.0	0.0	0.0
SC249433	SC249433	Study	PC01721	0.0	0.0	0.0
SC249433-PC04924-B-08	SC249433	Study	PC01721	0.0	0.0	0.0
SC249433-PC04925-C-04	SC249433	Study	PC01721	0.0	0.0	0.0
SC249436	SC249436	Study	PC01721	0.0	0.0	0.0
SC249436-PC04924-E-08	SC249436	Study	PC01721	0.0	0.0	0.0
SC249436-PC04925-E-04	SC249436	Study	PC01721	0.0	0.0	0.0
SC253200-PC04925-C-08	SC253200	Study	PC01914	0.0	0.0	0.0
SC253200-PC07578-C-08	SC253200	Study	PC01914	0.0	0.0	0.0
SC502445	SC502445	Ext.Control	PC17554	0.0	0.0	0.0
SC502446	SC502446	Ext.Control	PC17554	0.0	0.0	0.0
SC502450	SC502450	Ext.Control	PC17554	0.0	0.0	0.0
SC249424	SC249424	Study	PC01720	0.0	0.0	0.0
SC249424-PC04924-B-07	SC249424	Study	PC01720	0.0	0.0	0.0
SC249424-PC04925-E-03	SC249424	Study	PC01720	0.0	0.0	0.0
SC249429	SC249429	Study	PC01720	0.0	0.0	0.0
SC249429-PC04924-G-07	SC249429	Study	PC01720	0.0	0.0	0.0
SC249429-PC04925-G-03	SC249429	Study	PC01720	0.0	0.0	0.0
SC553014	SC553014	Study	PC21459	0.0	0.0	0.0
SC249362-PC04924-E-01	SC249362	Ext.Control	PC01715	0.0	0.0	0.0
SC249362-PC07578-H-08	SC249362	Ext.Control	PC01715	0.0	0.0	0.0
