Sample ID	Source-PCR-Plate	Run-ID	Project-ID	CGR-Sample-ID	Sample-Type	Sample-Des	Subject-ID	Reciept	Ext-Company	Ext-Kit	Ext-Robotics	Homo-Status	Homo-Method	Homo-Holder	Mag-Col	IR
SC304934-PC07578-D-02	PC07578_D_02	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304934	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-017	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Residual	Vertical	Tubes	Magnetic	None
SC304937	PC07578_D_04	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304937	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-017	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Residual	Vertical	Tubes	Magnetic	None
SC553011	PC22192_F_05	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553011	Ext_Control	art_col	DZ35316	sFEMB-001-R-041	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553008	PC22190_C_12	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553008	Study	Biocollective	Biocollective	sFEMB-001-R-041	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553006	PC22192_D_05	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553006	Study	Biocollective	Biocollective	sFEMB-001-R-041	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553013	PC22190_H_09	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553013	Study	Biocollective	Biocollective	sFEMB-001-R-041	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553010	PC22192_A_02	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553010	Study	Biocollective	Biocollective	sFEMB-001-R-041	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553015	PC22190_B_10	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553015	Study	Biocollective	Biocollective	sFEMB-001-R-041	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553005	PC22190_F_08	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553005	Ext_Control	Ext_Blank	Water	sFEMB-001-R-041	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553009	PC22192_B_10	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553009	Ext_Control	Ext_Blank	Water	sFEMB-001-R-041	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553018	PC22190_F_09	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553018	Ext_Control	Ext_Blank	Water	sFEMB-001-R-041	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553012	PC22190_C_07	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553012	Study	human_1	human_1	sFEMB-001-R-041	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553014	PC22192_C_05	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553014	Study	human_1	human_1	sFEMB-001-R-041	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
