SampleID	Source-PCR-Plate	Run-ID	Project-ID	CGR-Sample-ID	Sample-Type	Sample-Des	Subject-ID	Reciept	Ext-Company	Ext-Kit	Ext-Robotics	Homo-Status	Homo-Method	Homo-Holder	Mag-Col	IR
SC249435-PC04924-D-08	PC04924	SQ-1	NP0084-MB4	SC249435	Study	H01	H01	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249435-PC04925-D-04	PC04925	SQ-2	NP0084-MB4	SC249435	Study	H01	H01	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249440-PC04924-A-09	PC04924	SQ-1	NP0084-MB4	SC249440	Study	H01	H01	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249440-PC04925-G-04	PC04925	SQ-2	NP0084-MB4	SC249440	Study	H01	H01	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249441	PC07578	SQ-3	NP0084-MB5	SC249441	Study	H01	H01	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249441-PC04924-B-09	PC04924	SQ-1	NP0084-MB4	SC249441	Study	H01	H01	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249441-PC04925-H-04	PC04925	SQ-2	NP0084-MB4	SC249441	Study	H01	H01	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249433	PC07578	SQ-3	NP0084-MB5	SC249433	Study	Robogut	M98	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249433-PC04924-B-08	PC04924	SQ-1	NP0084-MB4	SC249433	Study	Robogut	M98	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249433-PC04925-C-04	PC04925	SQ-2	NP0084-MB4	SC249433	Study	Robogut	M98	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249436	PC07578	SQ-3	NP0084-MB5	SC249436	Study	Robogut	M98	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249436-PC04924-E-08	PC04924	SQ-1	NP0084-MB4	SC249436	Study	Robogut	M98	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249436-PC04925-E-04	PC04925	SQ-2	NP0084-MB4	SC249436	Study	Robogut	M98	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249432-PC04924-A-08	PC04924	SQ-1	NP0084-MB4	SC249432	Ext_Control	ZymoBiomics	Z00	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249432-PC04925-B-04	PC04925	SQ-2	NP0084-MB4	SC249432	Ext_Control	ZymoBiomics	Z00	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
SC249437	PC07578	SQ-3	NP0084-MB5	SC249437	Ext_Control	ZymoBiomics	Z00	sFEMB-001-R-007	Qiagen	EX-2	KingFisher	Standard	TissueLyzer	Plate	Magnetic	Solution
