"","Yr","Pop","violent","murder","rape1","robbery","aggassault","propcrime","burg","larceny","mvtheft","ST","PopTotal_1970","Pop_Un18_1970","Pop_20to40_1970","Pop_40to60_1970","Pop_60Ov_1970","PopTotal_1975","Pop_Un18_1975","Pop_20to40_1975","Pop_40to60_1975","Pop_60Ov_1975","PopTotal_1980","Pop_Un18_1980","Pop_20to40_1980","Pop_40to60_1980","Pop_60Ov_1980","PopTotal_1985","Pop_Un18_1985","Pop_20to40_1985","Pop_40to60_1985","Pop_60Ov_1985","PopTotal_1990","Pop_Un18_1990","Pop_20to40_1990","Pop_40to60_1990","Pop_60Ov_1990","PopTotal_1995","Pop_Un18_1995","Pop_20to40_1995","Pop_40to60_1995","Pop_60Ov_1995"
"523",1975,2224000,12184,8.6,35.5,170,333.8,7793.7,2529.9,4747.7,516.1,"AZ",NA,NA,NA,NA,NA,2286342,36.6448239152323,29.4385091994111,19.5783920340876,14.338274851269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524",1975,2116000,7369,10.1,25.9,87.6,224.7,3191.9,1077.1,1947,167.8,"AR",NA,NA,NA,NA,NA,2158257,35.5911274699908,26.8165468709241,19.9043024069886,17.6880232520965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"525",1975,21185000,138842,10.4,41.6,282.4,321,6549.2,2217.3,3703.7,628.2,"CA",NA,NA,NA,NA,NA,21536811,33.6776415041206,31.150986095388,21.3763309711916,13.7950414292998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"526",1975,2534000,11735,7.4,41.5,174.1,240.1,6212.4,2001.2,3744,467.2,"CO",NA,NA,NA,NA,NA,2586243,35.5697821125084,33.2042658017827,19.4714108457713,11.7545412399376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"527",1975,3095000,8308,3.9,12.4,131.5,120.6,4688.6,1512.6,2603.6,572.4,"CT",NA,NA,NA,NA,NA,3084745,33.8225688022835,28.1093899171568,22.9864381010424,15.0816031795173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"528",1975,579000,2270,7.3,18.1,157.2,209.5,6276.2,1826.3,3926.9,523,"DE",NA,NA,NA,NA,NA,588737,36.2616924025499,29.5313527092743,21.6480363897632,12.5589184984127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529",1975,716000,12704,32.8,72.6,1276.1,392.7,5929.2,1838.5,3616.2,474.4,"DC",NA,NA,NA,NA,NA,710304,30.187074829932,34.0257129341803,20.9062598549354,14.8809523809524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"530",1975,8357000,57540,13.5,35.7,239.7,399.6,7032.7,2349.6,4240.4,442.6,"FL",NA,NA,NA,NA,NA,8541584,31.132633010458,26.3527818727768,21.1197478125837,21.3948373041815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"531",1975,4926000,22608,14.4,25.4,166.5,252.6,4167,1580.7,2248.5,337.7,"GA",NA,NA,NA,NA,NA,5058099,37.1450024999511,30.2897392874279,19.9220497661276,12.6432084464934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"532",1975,865000,1889,7.7,24.7,127.6,58.3,5808.2,1826.8,3457.7,523.7,"HI",NA,NA,NA,NA,NA,884406,35.6425668753943,33.5956562936027,20.4643568677734,10.2974199632296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"533",1975,820000,1670,5.2,16.1,42,140.4,3937.4,1063,2651.3,223,"ID",NA,NA,NA,NA,NA,832061,38.436605008527,28.731547326458,19.175637363126,13.6562103018889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"534",1975,11145000,74699,10.6,25.7,325.8,308.1,5033.2,1409.7,3030,593.5,"IL",NA,NA,NA,NA,NA,11306443,35.1752536142446,28.5581504280347,21.479062867075,14.7875330906457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"535",1975,5311000,17677,8.5,24.3,156.8,143.3,4578.6,1376.4,2813.9,388.3,"IN",NA,NA,NA,NA,NA,5351155,36.4942334879106,28.5565452691989,20.8204957621299,14.1287254807607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"536",1975,2870000,4039,2.5,10.3,53.5,74.4,3768,818.5,2719.8,229.7,"IA",NA,NA,NA,NA,NA,2881482,35.2971838796841,27.1874334110017,20.3504307852695,17.1649519240446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"537",1975,2267000,6307,5.4,17.2,92.8,162.8,4468.8,1369.5,2862.8,236.4,"KS",NA,NA,NA,NA,NA,2278947,34.1055759524026,28.2221569874157,20.6194352040657,17.052831856116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"538",1975,3396000,8967,10.2,15.4,103.2,135.3,3000.3,962.8,1774.2,263.4,"KY",NA,NA,NA,NA,NA,3468957,36.2585930007204,28.5977600760113,20.1197074509716,15.0239394722967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"539",1975,3791000,18137,12.6,23.7,153.1,289,3645,1114.6,2191.8,338.5,"LA",NA,NA,NA,NA,NA,3886835,38.7221479687201,28.6780118013757,19.4274004427767,13.1724397871276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"540",1975,1059000,2324,2.8,10.4,36.4,169.8,3740.1,1361.5,2167.9,210.8,"ME",NA,NA,NA,NA,NA,1073287,35.7144920231029,27.4664651672852,20.5511666497405,16.2678761598715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
