Yr,Pop,violent,murder,rape1,robbery,aggassault,propcrime,burg,larceny,mvtheft
1971,20223000,104872,8.1,36.1,235.5,238.9,6171.5,1939.8,3517.9,713.9
1971,2283000,8530,6.5,38.4,134.9,193.8,5143.3,1450,3128.5,564.8
1971,3081000,5968,3.1,11.9,83.2,95.5,3452.5,1067.3,1846,539.1
1971,558000,2060,6.1,18.3,144.1,200.7,4645.9,1390.5,2670.6,584.8
1971,741000,16084,37.1,83,1514.4,536,7345.7,2539.5,3627.8,1178.4
1971,7041000,38575,13.3,24.3,190.6,319.7,5125.2,1678.4,3054.1,392.7
1971,4664000,15898,16,21.5,104.2,199.2,2707,1050.7,1354.5,301.8
1971,789000,1830,5.3,17.5,93,116.1,5226.9,1437.1,3222.4,567.3
1971,732000,917,3.3,10.5,22.3,89.2,3382.2,741.8,2473.9,166.5
1971,11196000,53436,9.6,21.6,258.1,187.9,3408.1,836.7,2095.6,475.8
1971,5274000,13031,5.3,19.4,126,96.3,3275.7,969,1903.9,402.7
1971,2852000,2822,1.8,8.9,30.4,57.8,2526.6,531.6,1841.8,153.3
